,balanced512_step24000,easysk512_step24000,hardsk512_24000,old512_step24000,gold formula
356,"( ( ( ( x_2 >= -0.3332 or x_0 >= -0.3332 ) or ( x_0 >= -0.3332 or x_0 >= -0.3332 ) ) and ( ( x_1 >= -0.3332 or x_2 >= -0.3332 ) or ( x_0 >= -0.3632 or x_1 >= -0.3332 ) ) ) until[23,27] ( ( ( x_2 >= -0.3332 or x_1 >= -0.3332 ) or ( x_2 >= -0.3332 or x_1 >= -0.3332 ) ) or ( ( x_2 >= -0.3632 or x_1 >= -0.3632 ) or ( x_1 >= -0.3632 or x_2 >= -0.3632 ) ) ) )","( ( ( ( x_2 >= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0055 or x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.1555 until[25,33] x_2 <= -0.0055 ) ) ) until[10,25] ( ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.0555 ) ) or ( ( x_0 >= -0.1555 or x_2 >= -0.0505 ) or ( x_0 >= -0.1555 or x_2 >= -0.0555 ) ) ) )","( ( ( ( x_2 >= -0.0037 or x_2 >= -0.0097 ) or ( x_0 >= -0.1667 or x_2 >= -0.0097 ) ) until[19,35] ( ( x_0 >= -0.0397 or x_0 >= -0.0397 ) or ( x_0 >= -0.0397 or x_0 >= -0.0397 ) ) ) until[10,22] always[10,inf] ( ( ( x_2 >= -0.0097 or x_2 >= -0.0097 ) or ( x_2 >= -0.0096 or x_2 >= -0.0097 ) ) ) )","always[19,inf] ( ( x_2 >= 0.6225 until[19,21] x_2 >= 0.6225 ) )",( x_1 >= -0.9873 until always ( x_2 >= 0.6526 ) )
357,"( ( ( x_2 >= -0.433 or x_2 >= -0.433 ) or ( x_1 >= -0.433 and x_2 >= -0.426 ) ) or ( ( x_2 >= -0.436 and x_1 >= -0.426 ) until[15,23] ( x_2 >= -0.426 or x_1 >= -0.4262 ) ) )","( ( ( ( x_2 <= -0.5155 or x_2 <= -0.0005 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_2 <= -0.0005 until[10,22] x_2 <= -0.0005 ) ) ) or ( ( ( x_2 <= -0.0005 until[20,29] x_2 <= -0.0005 ) or ( x_2 <= -0.0555 until[20,29] x_2 <= -0.0555 ) ) or ( ( x_0 <= -0.0555 or x_2 <= -0.0505 ) or ( x_0 <= -0.2555 until[22,30] x_2 <= -0.0555 ) ) ) )","( ( ( ( x_2 >= -0.0361 or x_2 >= -0.066 ) or ( x_2 >= -0.066 or x_2 >= -0.0967 ) ) or ( ( x_1 >= -0.0967 or x_2 >= -0.0997 ) or ( x_0 >= -0.0997 and x_2 >= -0.0997 ) ) ) or ( ( ( x_0 >= -0.0997 or x_2 >= -0.0997 ) or ( x_0 >= -0.0997 and x_0 >= -0.0397 ) ) until[10,25] ( ( x_0 >= -0.099 and x_2 >= -0.099 ) or ( x_0 >= -0.099 and x_0 >= -0.099 ) ) ) )",( x_2 >= -0.4225 or x_1 >= -0.4225 ),( x_1 >= 0.3887 or x_2 >= -0.5335 )
358,"( ( ( x_2 <= 0.2232 or x_0 <= 0.2232 ) and ( x_0 <= 0.2232 or x_0 <= 0.222 ) ) until[15,23] ( ( x_2 <= 0.2222 or x_0 <= 0.2222 ) or ( x_0 <= 0.2222 and x_2 <= 0.2222 ) ) )","( ( ( ( x_2 <= 0.1055 or x_2 <= 0.0055 ) or ( x_2 <= 0.1055 or x_2 <= 0.0005 ) ) or ( ( x_0 <= 0.1005 or x_2 <= 0.1005 ) or ( x_0 <= 0.2225 or x_2 <= 0.1005 ) ) ) until[1,10] ( ( ( x_0 <= 0.1005 or x_2 <= -0.0005 ) or ( x_0 <= -0.1555 or x_2 <= 0.1525 ) ) or ( ( x_0 <= 0.2225 or x_2 <= 0.1505 ) or ( x_0 <= 0.1525 or x_2 <= 0.1525 ) ) ) )","( ( ( ( x_2 <= 0.0367 or x_2 <= 0.0367 ) or ( x_0 <= 0.0397 or x_0 <= 0.0397 ) ) and ( ( x_0 <= 0.0397 and x_0 <= -0.0397 ) and ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) ) until[1,19] ( ( ( x_0 <= 0.0397 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 and x_2 <= -0.0397 ) ) or ( ( x_0 <= 0.0997 and x_0 <= -0.0397 ) and ( x_0 <= -0.0397 and x_0 <= 0.0997 ) ) ) )","( x_2 <= 0.1926 until[1,10] x_0 <= 0.2525 )",( eventually ( x_2 <= -0.1304 ) and x_0 <= 0.5015 )
359,"( ( ( x_2 <= -0.533 or x_2 <= -0.533 ) and ( x_0 <= -0.563 or x_0 <= -0.563 ) ) or ( ( x_1 <= -0.663 and x_2 <= -0.663 ) and ( x_2 <= -0.463 until[2,28] x_1 <= -0.422 ) ) )","( ( ( ( x_2 <= -0.5055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) ) until[1,15] ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.2005 or x_2 <= -0.0005 ) or ( x_0 <= -0.2005 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 <= -0.0337 or x_2 <= -0.036 ) or ( x_2 <= -0.0397 or x_2 <= -0.0397 ) ) or ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 and x_2 <= -0.0397 ) ) ) until[10,22] ( ( ( x_0 <= -0.0397 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 or x_2 <= -0.039 ) ) or ( ( x_0 <= -0.039 or x_0 <= -0.0397 ) or ( x_0 <= -0.039 and x_0 <= -0.039 ) ) ) )",( x_2 <= -0.6299 or x_1 <= -0.6299 ),"( x_0 <= -1.1832 or not ( ( x_2 >= -0.4865 or ( x_0 <= -0.0453 until[4,6] x_0 >= -0.244 ) ) ) )"
360,not ( ( ( x_2 <= -0.533 or x_2 <= -0.633 ) or ( x_2 <= -0.636 or x_2 <= -0.663 ) ) ),"( ( ( x_2 >= -0.5155 or x_2 >= -0.5055 ) or ( x_2 >= -0.5055 and x_2 >= -0.5005 ) ) or ( ( x_2 >= -0.5005 until[10,22] x_2 >= -0.5005 ) or ( x_0 <= -0.5555 until[10,22] x_2 >= -0.5555 ) ) )",not ( ( ( x_2 <= -0.5693 or x_2 <= -0.6697 ) and ( x_2 <= -0.6697 and x_2 <= -0.6697 ) ) ),not ( x_2 <= -0.5223 ),( x_2 >= -0.5545 or ( x_2 >= 1.0873 and x_2 >= 1.3694 ) )
361,"( ( ( ( x_1 >= -0.233 or x_1 >= -0.333 ) or ( x_1 >= -0.363 or x_1 >= -0.363 ) ) until[15,23] ( ( x_1 >= -0.333 or x_1 >= -0.3632 ) or ( x_1 >= -0.3632 or x_1 >= -0.3632 ) ) ) until[1,inf] ( ( ( x_1 >= -0.3332 or x_1 >= -0.3632 ) or ( x_1 >= -0.1632 or x_1 >= -0.1632 ) ) or ( ( x_1 >= -0.3632 or x_1 >= -0.2632 ) or ( x_1 >= -0.1632 or x_1 >= -0.3632 ) ) ) )","( ( ( ( x_1 <= -0.0055 or x_1 <= -0.0005 ) or ( x_2 <= -0.0005 or x_1 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_1 <= -0.0005 and x_1 <= -0.0005 ) ) ) until[25,32] ( ( ( x_1 <= -0.0005 or x_2 <= -0.0005 ) or ( x_1 <= -0.0005 or x_1 <= -0.0005 ) ) or ( ( x_1 <= -0.1005 or x_1 <= -0.0005 ) or ( x_1 <= -0.2005 or x_1 <= -0.0555 ) ) ) )","( ( ( ( x_1 >= -0.0367 or x_1 >= -0.0367 ) or ( x_1 >= -0.0667 or x_1 >= -0.0367 ) ) or ( ( x_1 >= -0.0667 or x_2 <= -0.0367 ) or ( x_0 >= -0.0667 or x_2 >= -0.0667 ) ) ) until[10,22] ( ( ( x_1 >= -0.0397 or x_2 >= -0.0397 ) or ( x_1 >= -0.0397 or x_2 >= -0.0397 ) ) or ( ( x_1 >= -0.0397 or x_2 >= -0.0397 ) or ( x_2 >= -0.039 and x_2 >= -0.069 ) ) ) )","( ( x_1 <= -0.5299 or x_1 <= -0.5299 ) until[19,21] x_1 <= -0.5929 )","always[5,14] ( always[9,14] ( ( ( x_0 <= -0.9203 or always[18,20] ( eventually[16,18] ( eventually[2,inf] ( not ( not ( x_1 <= -0.1045 ) ) ) ) ) ) and always[1,inf] ( not ( x_1 <= -1.0035 ) ) ) ) )"
362,( ( ( x_2 >= 0.3332 or x_2 >= 0.3332 ) or ( x_2 >= 0.3332 and x_2 >= 0.333 ) ) and ( ( x_0 >= -0.3632 or x_1 >= -0.3632 ) or ( x_2 >= 0.3632 or x_2 >= 0.3632 ) ) ),"( ( ( ( x_2 >= -0.1055 or x_2 >= -0.0005 ) or ( x_2 >= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_2 >= -0.0005 and x_2 <= -0.0005 ) and ( x_0 <= -0.1555 and x_2 <= -0.0005 ) ) ) until[1,10] ( ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_0 <= -0.1555 or x_2 <= -0.0555 ) ) or ( ( x_0 >= -0.1555 or x_2 <= -0.0505 ) or ( x_0 <= -0.1555 or x_2 >= -0.1505 ) ) ) )",( ( ( x_2 >= 0.5661 or x_2 >= 0.5667 ) or ( x_2 >= 0.5697 or x_2 >= -0.5697 ) ) or ( ( x_0 >= -0.5697 or x_2 >= -0.0697 ) or ( x_0 >= -0.5697 and x_2 >= -0.0697 ) ) ),"( x_2 >= 0.4225 or ( x_0 >= -0.2223 until[16,19] x_2 >= 0.2223 ) )","eventually[10,12] ( ( not ( x_1 <= 1.807 ) or x_2 >= 0.4143 ) )"
363,"( ( ( ( x_2 <= -0.333 or x_2 <= 0.333 ) or ( x_0 <= -0.333 or x_0 >= -0.333 ) ) or ( ( x_0 >= -0.333 and x_2 <= -0.363 ) and ( x_0 >= -0.363 or x_2 <= -0.363 ) ) ) until[2,inf] ( ( ( x_2 <= -0.333 or x_1 <= -0.3222 ) or ( x_2 <= -0.3232 or x_1 <= -0.3222 ) ) or ( ( x_1 <= -0.363 or x_2 <= -0.3632 ) or ( x_1 <= -0.363 and x_2 <= -0.363 ) ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 until[25,33] x_2 <= -0.0005 ) or ( x_2 <= -0.0005 until[20,29] x_2 <= -0.0005 ) ) ) or ( ( ( x_2 <= -0.0005 until[20,29] x_2 <= -0.0005 ) or ( x_2 <= -0.0555 until[26,34] x_2 <= -0.0555 ) ) or ( ( x_0 <= -0.1505 until[23,30] x_2 <= -0.0555 ) or ( x_0 <= -0.1555 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 <= -0.0337 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 or x_0 <= -0.0397 ) ) or ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 until[15,28] x_0 <= -0.0397 ) ) ) or ( ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 until[15,29] x_0 <= -0.0397 ) ) until[10,22] ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.039 and x_0 <= -0.0997 ) ) ) )","eventually[19,inf] ( ( x_2 <= 0.429 or x_2 <= 0.429 ) )",( eventually ( x_2 <= 0.3262 ) or ( x_0 <= 0.0127 and not ( x_1 >= -0.6394 ) ) )
364,not ( ( ( x_2 <= 0.233 or x_2 <= -0.233 ) or ( x_2 <= -0.1332 or x_2 <= -0.1332 ) ) ),"( ( ( x_2 >= -0.1055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 and x_2 >= -0.0005 ) ) until[1,20] ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.1505 ) ) )",not ( ( ( x_2 <= -0.0037 or x_2 <= -0.0097 ) or ( x_2 <= -0.0097 and x_2 <= -0.0097 ) ) ),"eventually[12,16] ( x_2 >= -0.0222 )","always[12,20] ( x_2 >= -0.062 )"
365,( ( x_0 <= -0.333 or x_0 <= -0.333 ) and ( x_1 <= -0.333 or x_0 <= -0.363 ) ),( ( x_0 <= -0.2005 or x_0 <= -0.2055 ) or ( x_1 <= -0.0055 or x_0 <= -0.0055 ) ),"( ( ( ( x_0 <= -0.036 or x_0 <= -0.036 ) or ( x_0 <= -0.0367 or x_0 <= -0.0367 ) ) or ( ( x_0 <= -0.0367 or x_0 <= -0.0367 ) or ( x_0 <= -0.0367 and x_0 <= -0.0367 ) ) ) until[1,19] ( ( ( x_0 <= -0.0367 or x_0 <= -0.0367 ) or ( x_0 <= -0.0367 or x_2 <= -0.036 ) ) or ( ( x_0 <= -0.036 or x_0 <= -0.066 ) or ( x_0 <= -0.066 and x_2 >= -0.009 ) ) ) )",( x_0 <= -0.2925 and x_2 <= 0.5299 ),"( ( x_2 >= -1.7793 and eventually[2,20] ( ( ( ( ( x_1 <= 0.7318 or always[18,inf] ( not ( ( ( always[14,17] ( ( x_0 <= -0.411 and always[14,inf] ( x_2 <= 0.748 ) ) ) or ( x_1 >= 0.0645 until[0,8] x_2 >= 0.6835 ) ) and x_0 <= 0.5804 ) ) ) ) and ( x_2 >= -0.3282 and ( x_0 >= -0.6523 until[16,inf] not ( x_1 >= 0.7804 ) ) ) ) and x_0 <= 1.8241 ) and x_0 <= 0.5765 ) ) ) or x_0 <= -0.8926 )"
366,not ( not ( not ( x_2 <= -0.322 ) ) ),not ( ( ( x_2 >= -0.4155 or x_2 >= -0.4055 ) or ( x_2 >= -0.2005 or x_2 >= -0.2225 ) ) ),not ( not ( not ( x_2 >= -0.5391 ) ) ),"eventually[1,13] ( x_2 <= -0.3222 )","( eventually[9,12] ( x_2 <= -0.382 ) or x_2 <= -0.6285 )"
367,"( ( ( x_2 <= 0.5332 or x_0 <= 0.5332 ) and ( x_0 <= 0.5632 or x_0 <= 0.5632 ) ) until[15,23] ( ( x_2 <= 0.3632 or x_0 <= 0.5632 ) or ( x_0 <= -0.5632 or x_2 <= 0.3622 ) ) )","( ( ( ( x_2 <= 0.5155 or x_2 <= -0.0055 ) or ( x_2 <= -0.0055 or x_2 <= 0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= 0.1555 until[15,25] x_2 <= -0.0005 ) ) ) until[1,10] ( ( ( x_0 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.1555 or x_2 <= -0.0555 ) ) or ( ( x_0 <= -0.1555 or x_2 <= -0.0505 ) or ( x_0 <= -0.1555 or x_2 <= 0.0555 ) ) ) )","( ( ( ( x_2 <= -0.0361 or x_2 <= -0.0367 ) or ( x_2 <= -0.1667 or x_0 <= 0.2967 ) ) until[10,22] ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.3997 and x_2 <= -0.0397 ) ) ) until[1,inf] ( ( ( x_0 <= -0.3997 or x_0 <= -0.0397 ) or ( x_0 <= -0.3997 or x_2 <= -0.0397 ) ) or ( ( x_0 <= -0.0397 and x_0 <= -0.0397 ) or ( x_0 <= -0.069 and x_2 <= -0.069 ) ) ) )","( x_2 <= 0.6999 until[19,21] x_0 <= 0.6929 )","( not ( ( ( ( x_0 <= -0.9969 until[5,14] eventually[13,inf] ( not ( ( ( not ( x_0 <= -0.2061 ) until[18,20] x_1 >= -0.2623 ) or always[4,14] ( not ( x_0 <= -0.1691 ) ) ) ) ) ) until[14,21] x_0 <= -0.7681 ) and eventually ( not ( x_1 >= -0.7038 ) ) ) ) until[18,20] ( x_0 <= 1.1248 until[7,15] x_2 <= 0.6471 ) )"
368,"( ( ( ( x_2 <= -0.233 or x_0 <= -0.233 ) or ( x_0 >= -0.333 or x_0 <= -0.3332 ) ) or ( ( x_0 >= -0.333 or x_0 >= -0.3632 ) or ( x_0 <= -0.3632 until[26,33] x_2 <= -0.3332 ) ) ) until[2,inf] ( ( ( x_2 <= -0.333 or x_2 <= -0.2232 ) or ( x_1 <= -0.3332 or x_2 <= -0.3222 ) ) or ( ( x_2 <= -0.1632 or x_0 <= -0.3632 ) or ( x_1 <= -0.3632 or x_2 <= -0.3632 ) ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.1005 until[25,33] x_2 <= -0.0005 ) or ( x_0 <= -0.0005 until[25,32] x_2 <= -0.0005 ) ) ) or ( ( ( x_0 <= -0.0005 until[27,32] x_2 <= -0.0005 ) or ( x_0 <= -0.2205 until[26,32] x_2 <= -0.0555 ) ) or ( ( x_0 <= -0.2205 until[23,30] x_2 <= -0.0505 ) or ( x_0 <= -0.1505 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 <= -0.0337 or x_2 <= -0.0367 ) or ( x_0 <= -0.0397 or x_0 <= -0.0397 ) ) or ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 until[19,35] x_0 <= -0.0397 ) ) ) or ( ( ( x_0 <= -0.0997 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 until[15,29] x_0 <= -0.0397 ) ) until[10,22] ( ( x_0 <= -0.0997 or x_0 <= -0.0997 ) or ( x_0 <= -0.099 and x_0 <= -0.0997 ) ) ) )","eventually[19,inf] ( ( x_2 <= -0.029 or x_2 <= -0.0225 ) )","( always[4,8] ( x_0 <= -1.0368 ) or not ( always[4,9] ( always[18,inf] ( x_2 >= -0.0275 ) ) ) )"
369,not ( ( ( x_2 <= 0.3332 or x_2 <= 0.5332 ) or ( x_2 <= 0.5332 or x_2 <= 0.533 ) ) ),"( ( ( x_2 >= -0.1055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) until[1,10] ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.1505 ) ) )",not ( not ( not ( x_2 <= 0.5099 ) ) ),"eventually[1,13] ( x_2 >= 0.4223 )","( eventually[1,6] ( x_2 >= 0.4813 ) until[12,20] not ( ( always[0,8] ( x_1 >= -1.5215 ) until[3,21] ( x_1 >= 1.8627 and ( eventually[5,21] ( x_1 <= 1.3787 ) and x_2 <= -0.8462 ) ) ) ) )"
370,"( ( ( ( x_2 <= -0.233 or x_2 <= 0.2232 ) or ( x_0 <= -0.3332 or x_2 <= -0.3332 ) ) until[23,33] ( ( x_2 <= -0.1332 or x_2 <= -0.3332 ) or ( x_0 <= -0.1332 or x_2 <= -0.3332 ) ) ) until[2,inf] ( ( ( x_2 <= -0.1332 or x_2 <= 0.3232 ) or ( x_1 <= -0.1632 or x_2 <= -0.3222 ) ) or ( ( x_2 <= -0.1632 or x_1 <= -0.326 ) or ( x_2 <= -0.1632 and x_2 <= -0.3632 ) ) ) )","always[24,33] ( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) until[22,32] ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.1525 or x_2 <= -0.0005 ) ) ) )","( ( ( ( x_2 <= -0.0337 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 or x_0 <= -0.0397 ) ) until[10,25] ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) ) or eventually[20,35] ( eventually[10,25] ( ( x_2 <= -0.0397 or x_2 <= 0.0097 ) ) ) )","always[19,inf] ( x_2 <= 0.2925 )",always ( x_2 <= 0.3115 )
371,"( ( ( ( x_0 >= -0.5332 or x_0 >= -0.5332 ) or ( x_1 >= -0.5332 or x_0 >= -0.5332 ) ) or ( ( x_1 >= -0.3632 or x_1 >= -0.3632 ) and ( x_1 >= -0.3632 or x_1 >= -0.3632 ) ) ) until[1,inf] ( ( ( x_1 >= -0.3632 or x_1 >= -0.3632 ) or ( x_1 >= -0.3632 or x_1 >= -0.4322 ) ) or ( ( x_1 >= -0.3632 or x_1 >= -0.3632 ) or ( x_1 >= -0.1632 or x_1 >= -0.4632 ) ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) ) until[15,25] ( ( ( x_0 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.2005 or x_2 <= -0.0005 ) or ( x_0 <= -0.2005 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 >= -0.0331 or x_2 >= -0.0367 ) or ( x_0 >= -0.0367 or x_0 >= -0.0397 ) ) or ( ( x_0 >= -0.0397 or x_0 >= -0.0397 ) or ( x_0 >= -0.0397 or x_1 >= -0.0397 ) ) ) until[10,22] ( ( ( x_1 >= -0.0397 or x_1 >= -0.0397 ) or ( x_0 >= -0.0397 or x_2 >= -0.0397 ) ) or ( ( x_0 >= -0.0397 or x_0 >= -0.0397 ) or ( x_0 >= -0.0397 and x_2 >= -0.039 ) ) ) )","( ( x_0 >= -0.9299 or x_1 >= -0.9299 ) or ( x_2 >= -0.2999 until[19,21] x_2 >= 0.2999 ) )",( ( x_2 <= -0.9901 and x_1 >= -0.5181 ) or x_2 >= 0.9682 )
372,( ( ( x_2 >= 0.3332 or x_2 >= 0.3332 ) and ( x_2 >= 0.333 or x_2 >= 0.333 ) ) or ( ( x_2 >= 0.333 and x_1 >= -0.363 ) and ( x_2 >= 0.363 and x_2 >= 0.363 ) ) ),"( ( ( ( x_2 >= -0.1055 or x_2 >= -0.0005 ) or ( x_2 >= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_2 >= -0.0005 and x_2 <= -0.0005 ) and ( x_0 <= -0.1555 and x_2 <= -0.0005 ) ) ) until[1,10] ( ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_0 <= -0.1555 or x_2 <= -0.1505 ) ) or ( ( x_0 >= -0.1555 or x_2 <= -0.0505 ) or ( x_0 <= -0.1555 or x_2 >= -0.1505 ) ) ) )",( ( ( x_2 >= 0.5037 or x_2 >= 0.5667 ) or ( x_2 >= 0.5697 or x_2 >= -0.5697 ) ) or ( ( x_0 >= -0.5697 or x_2 >= -0.0397 ) or ( x_0 >= -0.5697 and x_2 >= -0.0697 ) ) ),"( x_2 >= 0.3225 or ( x_2 >= 0.2223 until[16,19] x_2 >= -0.2223 ) )","always[3,16] ( ( x_2 >= 0.4123 or ( ( x_1 >= 0.2162 until[3,inf] eventually[8,15] ( ( eventually[0,8] ( ( ( x_2 >= 0.0571 until[19,21] x_1 >= 0.5902 ) and x_2 <= 0.228 ) ) or ( x_1 <= -0.2931 until[12,inf] ( x_1 >= 0.7669 or x_2 >= -0.2348 ) ) ) ) ) and x_0 >= 0.5067 ) ) )"
373,"eventually[28,34] ( eventually[2,inf] ( not ( x_2 <= -0.4332 ) ) )","eventually[29,34] ( eventually[15,23] ( not ( ( x_2 <= -0.5055 until[20,23] x_0 <= -0.5555 ) ) ) )","eventually[10,inf] ( always[10,inf] ( always[10,inf] ( not ( x_2 <= -0.5991 ) ) ) )","eventually[19,inf] ( x_2 >= -0.4095 )","always[13,inf] ( eventually[6,11] ( not ( always[14,inf] ( always ( eventually[8,13] ( x_2 <= -0.4596 ) ) ) ) ) )"
374,not ( ( ( x_2 >= 0.533 and x_2 >= 0.533 ) and ( x_2 >= 0.533 or x_2 >= 0.533 ) ) ),( ( ( x_2 <= -0.0055 or x_2 <= -0.0055 ) or ( x_2 <= -0.0055 or x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.1555 or x_2 <= -0.0555 ) ) ),not ( ( ( x_2 >= 0.5397 or x_2 >= 0.5397 ) and ( x_0 >= -0.5397 and x_2 >= 0.5397 ) ) ),( x_2 <= 0.4223 or x_2 <= 0.4225 ),"( ( x_2 <= 0.4867 or x_2 <= -0.7458 ) or eventually[15,21] ( always[7,15] ( x_0 >= 1.5644 ) ) )"
375,"( ( ( x_2 >= -0.233 or x_2 >= -0.2232 ) or ( x_2 >= -0.233 or x_2 >= -0.363 ) ) or ( ( x_2 >= -0.363 and x_2 >= -0.363 ) until[15,23] ( x_2 >= -0.363 or x_0 >= -0.3632 ) ) )","( ( ( ( x_2 <= -0.2055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_0 <= -0.1555 until[10,22] x_2 <= -0.0005 ) ) ) or ( ( ( x_2 <= -0.0005 until[15,23] x_2 <= -0.0005 ) or ( x_2 <= -0.0555 until[22,30] x_2 <= -0.0555 ) ) or ( ( x_0 <= -0.2505 or x_2 <= -0.0505 ) or ( x_0 <= -0.2505 or x_2 <= -0.0555 ) ) ) )","( ( ( ( x_2 >= -0.0367 or x_2 >= -0.0367 ) or ( x_2 >= -0.0667 or x_2 >= -0.0367 ) ) or ( ( x_0 >= -0.0967 or x_2 >= -0.0367 ) or ( x_0 >= -0.0967 and x_2 >= -0.0667 ) ) ) or ( ( ( x_0 >= -0.0997 or x_2 >= -0.0967 ) or ( x_0 >= -0.096 and x_0 >= -0.0967 ) ) until[10,25] ( ( x_0 >= -0.096 and x_2 >= -0.096 ) or ( x_0 >= -0.099 and x_0 >= -0.0997 ) ) ) )",( x_2 >= -0.3229 or x_2 >= -0.3225 ),( not ( ( x_2 <= -0.3476 and x_2 <= 0.7402 ) ) or not ( x_2 >= -1.5271 ) )
376,not ( ( ( x_2 <= 0.233 or x_2 <= -0.233 ) or ( x_2 <= -0.133 or x_2 <= -0.1332 ) ) ),"not ( ( ( ( x_2 <= -0.0555 and x_2 <= -0.0055 ) or ( x_2 <= -0.0055 and x_2 <= -0.1005 ) ) or ( ( x_2 <= -0.1525 or x_2 <= -0.1505 ) or ( x_0 <= -0.1555 until[12,20] x_2 <= -0.1505 ) ) ) )",not ( not ( not ( x_2 <= 0.1891 ) ) ),"always[1,13] ( x_2 >= -0.0222 )","( x_2 >= -0.0735 until[18,21] x_2 >= -0.0107 )"
