,Formula
18666,"( ( ( always[3,25] ( x_1 <= -0.5046 ) and ( x_2 >= 0.411 and x_0 >= 0.111 ) ) until ( always[8,inf] ( x_0 >= 3.204 ) or not ( x_3 <= 0.6848 ) ) ) until[28,31] not ( ( always[4,31] ( x_1 <= 0.9266 ) or ( x_3 >= 0.7917 or x_3 >= -0.2604 ) ) ) )"
18667,"not ( not ( ( eventually ( x_3 >= -0.8871 ) until[31,inf] ( x_3 >= -1.4549 or x_2 <= 2.0826 ) ) ) )"
18668,"( ( not ( ( x_2 >= -2.0363 and x_2 <= 0.5152 ) ) until[7,35] eventually[8,17] ( ( x_0 >= 2.2773 or x_1 <= 1.2773 ) ) ) or ( not ( always ( x_2 <= -0.2417 ) ) until[14,inf] always ( ( x_1 >= 0.8253 until[2,13] x_3 >= -0.5077 ) ) ) )"
18669,"( ( always[10,29] ( ( x_1 >= 0.9457 or x_1 <= -1.3313 ) ) until[3,6] always[34,36] ( eventually[6,inf] ( x_3 >= 0.4654 ) ) ) or eventually[22,32] ( ( always[32,36] ( x_2 >= 0.8258 ) or not ( x_1 <= -0.823 ) ) ) )"
18670,"( not ( ( eventually[1,24] ( x_2 >= -0.2048 ) or not ( x_3 <= -0.1583 ) ) ) and ( ( ( x_0 <= 0.907 and x_1 <= -1.5864 ) or ( x_0 <= -0.9597 or x_0 <= -1.7449 ) ) until[30,33] ( ( x_0 >= -2.104 until x_3 <= -1.512 ) or not ( x_1 <= -1.774 ) ) ) )"
18671,"( ( always[19,inf] ( eventually[32,34] ( x_1 <= -0.092 ) ) or not ( ( x_2 <= -0.7665 until[21,27] x_0 >= 1.6486 ) ) ) until[17,inf] not ( always[20,27] ( ( x_3 >= -1.2767 or x_3 >= 1.2492 ) ) ) )"
18672,"( ( not ( always[10,14] ( x_3 >= -2.9416 ) ) and ( ( x_3 <= -0.396 until[3,20] x_0 <= 0.1863 ) until always[34,36] ( x_0 <= 1.9517 ) ) ) and not ( eventually[30,33] ( ( x_2 <= 0.8598 or x_0 <= 0.6157 ) ) ) )"
18673,"eventually[24,30] ( ( ( eventually[7,14] ( x_0 >= 0.1801 ) or ( x_2 >= 1.5473 or x_1 >= 0.3819 ) ) or ( eventually[7,24] ( x_1 <= -0.3071 ) or ( x_3 >= 1.418 until[7,23] x_2 >= -0.7561 ) ) ) )"
18674,"( ( always[9,inf] ( eventually[33,35] ( x_1 <= 0.4891 ) ) until[24,36] ( eventually[3,5] ( x_3 <= -0.6752 ) or eventually[1,inf] ( x_3 <= -0.6156 ) ) ) or not ( always ( eventually[10,inf] ( x_3 >= -0.9225 ) ) ) )"
18675,"eventually[15,inf] ( eventually ( ( ( x_1 >= 0.2797 or x_0 <= -0.3366 ) until[14,33] not ( x_3 >= -1.6237 ) ) ) )"
18676,"( always[20,26] ( ( eventually[6,27] ( x_3 <= -2.2047 ) or always[3,inf] ( x_2 >= -0.4083 ) ) ) and not ( not ( not ( x_1 >= 1.2433 ) ) ) )"
18677,"always[32,inf] ( not ( ( always[30,34] ( x_2 >= -1.2147 ) until[20,28] not ( x_3 <= -0.3892 ) ) ) )"
18678,not ( not ( not ( ( x_2 >= -1.9422 and x_1 >= 0.3664 ) ) ) )
18679,"not ( eventually[32,36] ( ( eventually ( x_0 <= -0.7444 ) or ( x_1 >= -0.2916 and x_3 <= 0.3337 ) ) ) )"
18680,"eventually[2,28] ( eventually[6,23] ( eventually[9,inf] ( eventually[17,inf] ( x_3 <= -1.4837 ) ) ) )"
18681,"( ( ( ( x_3 >= -1.7149 and x_2 >= 0.5912 ) or always[8,13] ( x_3 <= 1.1356 ) ) until[6,10] ( ( x_1 >= -0.0128 and x_1 >= -0.2288 ) until[16,inf] eventually[17,20] ( x_2 >= 0.0883 ) ) ) and always[12,32] ( ( ( x_0 <= 1.1575 and x_2 >= 1.19 ) until[30,33] always[22,30] ( x_1 <= -0.337 ) ) ) )"
18682,"not ( eventually[2,35] ( not ( ( x_2 >= -1.1133 or x_3 <= 0.3655 ) ) ) )"
18683,"eventually[2,inf] ( eventually[33,36] ( ( eventually[26,36] ( x_3 <= -0.9358 ) or eventually[3,31] ( x_0 >= 1.4106 ) ) ) )"
18684,"eventually[29,33] ( ( always ( always[6,30] ( x_3 <= -0.0814 ) ) and ( ( x_1 <= -1.3178 until[18,26] x_1 >= -0.5196 ) until always ( x_3 >= 0.974 ) ) ) )"
18685,"not ( ( ( always[20,29] ( x_1 <= 0.2244 ) until[6,inf] ( x_1 >= -0.8854 or x_2 >= -0.9743 ) ) until[17,33] eventually[26,28] ( ( x_3 <= 1.015 and x_0 >= -0.4715 ) ) ) )"
18686,"( ( not ( eventually ( x_3 >= -1.3411 ) ) or ( not ( x_0 >= -0.0198 ) or ( x_3 <= 2.1686 or x_1 <= -3.4079 ) ) ) or ( ( eventually[5,inf] ( x_1 <= 2.1209 ) until[20,30] not ( x_0 >= -0.2274 ) ) and ( eventually[32,35] ( x_0 <= -0.0346 ) and not ( x_0 >= 0.3861 ) ) ) )"
18687,"( eventually ( ( not ( x_1 >= 0.8739 ) until[17,inf] not ( x_2 <= -0.971 ) ) ) or always[16,inf] ( ( ( x_2 <= 2.7941 or x_3 >= -0.1263 ) and ( x_0 >= 1.1161 or x_3 >= 0.0249 ) ) ) )"
18688,"always[4,29] ( eventually[25,32] ( ( always[17,34] ( x_0 >= 1.1426 ) and ( x_3 <= -0.8127 until[13,30] x_3 >= 0.536 ) ) ) )"
18689,"( not ( eventually[11,19] ( ( x_3 >= -1.6216 and x_0 <= -0.6329 ) ) ) and eventually[30,32] ( always[15,36] ( ( x_0 <= -1.3 until[21,29] x_1 <= -0.139 ) ) ) )"
18690,"eventually ( ( ( ( x_2 <= 0.7407 and x_0 >= 0.5443 ) until[34,inf] ( x_1 <= -0.7242 or x_2 >= -0.1355 ) ) until[20,33] ( always[14,30] ( x_0 >= 0.1047 ) and eventually[5,18] ( x_0 >= -1.003 ) ) ) )"
18691,"( ( ( always ( x_2 >= -0.8602 ) or not ( x_0 <= -0.0658 ) ) or not ( ( x_0 >= 1.515 until[10,inf] x_3 >= 1.4496 ) ) ) and ( not ( always[29,inf] ( x_2 >= -0.1858 ) ) or ( not ( x_1 <= -0.9818 ) until[7,29] eventually[9,19] ( x_1 >= -0.4993 ) ) ) )"
18692,"not ( ( ( not ( x_0 <= 0.2076 ) and not ( x_0 <= 0.5348 ) ) until[23,29] ( eventually[26,35] ( x_3 >= 0.1097 ) or always[1,inf] ( x_0 <= -0.1972 ) ) ) )"
18693,"( ( ( always[17,32] ( x_2 >= 0.8606 ) and always[15,inf] ( x_0 >= 0.8451 ) ) or eventually[16,24] ( ( x_0 <= 1.1509 and x_3 >= -0.8615 ) ) ) or ( ( always[27,30] ( x_2 >= 0.141 ) or ( x_0 <= -1.7415 until[3,31] x_3 >= 2.2135 ) ) until[1,inf] ( eventually[30,32] ( x_3 >= -0.3553 ) and always[33,36] ( x_3 <= 1.1245 ) ) ) )"
18694,"not ( ( ( ( x_0 >= -2.4037 until[21,28] x_1 <= 0.1317 ) until eventually ( x_1 >= -0.3238 ) ) until[31,36] ( eventually[10,14] ( x_3 >= 0.3676 ) and not ( x_2 <= 1.8293 ) ) ) )"
18695,"always ( not ( eventually[8,inf] ( ( x_3 <= -0.6645 and x_2 <= -0.9324 ) ) ) )"
18696,"always ( always ( not ( eventually[21,32] ( x_3 >= 1.2473 ) ) ) )"
18697,"always[32,34] ( ( not ( ( x_0 >= -0.8428 until[10,34] x_2 <= 1.6116 ) ) and always ( ( x_2 >= 0.1149 or x_2 <= -1.3209 ) ) ) )"
18698,"( ( ( ( x_0 <= -1.0313 until[21,34] x_2 >= -0.5397 ) and ( x_2 >= 2.1742 until x_3 <= -0.5019 ) ) until[18,29] ( not ( x_1 >= -0.3226 ) or not ( x_0 <= 0.4032 ) ) ) until[6,inf] always[13,inf] ( not ( ( x_1 <= -0.3114 or x_2 >= -0.5412 ) ) ) )"
18699,"eventually[14,29] ( not ( always[13,17] ( eventually[34,36] ( x_3 <= -0.3419 ) ) ) )"
18700,"not ( ( always[31,36] ( ( x_1 >= 0.1349 and x_0 <= 0.2934 ) ) until[26,33] always[5,inf] ( always[13,19] ( x_3 <= -1.3467 ) ) ) )"
18701,"( eventually[8,24] ( ( eventually ( x_2 >= 0.9356 ) until[14,24] eventually[31,33] ( x_1 >= 0.8993 ) ) ) and ( ( ( x_3 <= -0.2071 and x_3 >= 0.2185 ) or ( x_1 <= -0.5785 or x_1 >= 1.3262 ) ) and not ( ( x_1 <= -0.8782 until[31,34] x_1 <= -1.2417 ) ) ) )"
18702,"( ( eventually[9,22] ( ( x_1 <= -2.8576 until[2,21] x_3 <= 0.2455 ) ) and ( eventually ( x_1 <= 0.3839 ) and not ( x_2 <= 2.0461 ) ) ) and ( ( not ( x_0 <= -0.4056 ) and always[13,26] ( x_2 <= -0.5214 ) ) or always[31,inf] ( eventually[25,35] ( x_3 <= 0.5337 ) ) ) )"
18703,"eventually[4,27] ( ( ( ( x_2 >= -0.2585 or x_0 <= -1.9926 ) or always[17,inf] ( x_2 <= -0.4232 ) ) or always[0,31] ( eventually[25,29] ( x_0 >= 1.1963 ) ) ) )"
18704,"always[25,34] ( ( not ( not ( x_1 <= -0.0843 ) ) until[31,34] not ( eventually ( x_2 <= -0.8152 ) ) ) )"
18705,"( always ( not ( eventually[16,20] ( x_3 >= -0.9455 ) ) ) until ( ( ( x_0 >= -0.5505 and x_0 <= -1.1843 ) or not ( x_0 >= 1.4705 ) ) and eventually[9,inf] ( ( x_0 >= -0.9378 and x_1 >= -0.3115 ) ) ) )"
18706,"( always[29,35] ( ( always[34,36] ( x_1 >= 2.0452 ) and ( x_2 <= -0.2633 or x_1 <= -0.9667 ) ) ) or always[0,33] ( ( always ( x_3 >= -0.3473 ) and ( x_0 >= 1.3882 or x_3 <= 0.1276 ) ) ) )"
18707,"eventually[31,33] ( always[12,34] ( not ( ( x_2 <= -1.0372 until[20,29] x_2 <= -0.7174 ) ) ) )"
18708,"( always[2,32] ( not ( not ( x_0 >= 1.5813 ) ) ) or always[21,23] ( always[5,28] ( ( x_0 <= 0.2262 until[0,2] x_2 >= -0.7973 ) ) ) )"
18709,"not ( always ( ( ( x_1 <= 0.6159 and x_0 <= 0.9344 ) or always[18,inf] ( x_1 <= 1.6786 ) ) ) )"
18710,"eventually[24,31] ( eventually ( ( always ( x_3 <= 0.0252 ) until[28,inf] always[32,inf] ( x_0 <= 0.5146 ) ) ) )"
18711,"not ( ( ( not ( x_2 >= -0.8315 ) and ( x_3 <= 0.1142 until x_3 >= 1.01 ) ) and ( not ( x_0 <= 0.308 ) or always[19,inf] ( x_2 <= 1.8066 ) ) ) )"
18712,"( always[10,21] ( ( not ( x_1 <= 1.0861 ) or ( x_2 <= -1.4502 and x_3 <= 1.3516 ) ) ) or always[21,34] ( ( always[33,36] ( x_1 <= 0.5093 ) until[10,17] ( x_0 <= 0.2431 until[7,14] x_1 <= -0.3171 ) ) ) )"
18713,"always[3,30] ( ( ( ( x_2 <= -0.6508 until[5,inf] x_1 <= 0.7596 ) until[12,29] not ( x_1 <= 0.4323 ) ) or ( ( x_2 >= 0.5222 and x_2 >= -1.5222 ) and ( x_0 <= 0.2861 or x_0 <= -1.2861 ) ) ) )"
18714,"( ( ( ( x_1 >= 0.4747 and x_2 <= -0.8938 ) until[11,19] not ( x_3 >= -0.5305 ) ) until[22,36] ( not ( x_2 <= -0.4358 ) until[23,32] ( x_1 <= -1.0332 or x_0 >= 0.367 ) ) ) and ( ( ( x_2 >= -3.8901 until[20,33] x_2 >= -0.0076 ) and ( x_3 >= 0.3425 or x_1 >= -0.1266 ) ) and ( not ( x_1 <= 0.3352 ) until[16,25] ( x_0 >= -0.7491 and x_0 >= 0.3783 ) ) ) )"
18715,"not ( not ( eventually[21,33] ( ( x_3 <= 0.2613 or x_2 <= 1.5206 ) ) ) )"
18716,"eventually[21,25] ( ( not ( eventually ( x_0 <= 1.9009 ) ) until[9,20] ( ( x_1 >= -2.1883 and x_2 >= 0.9876 ) and ( x_1 <= 0.4244 until x_3 >= -1.1314 ) ) ) )"
18717,"( eventually[11,16] ( ( ( x_1 >= -0.0718 or x_3 <= 1.2849 ) until ( x_3 >= -1.1245 until[0,23] x_0 >= 0.3526 ) ) ) until[18,32] ( ( always[24,31] ( x_1 <= -1.3007 ) or eventually[10,32] ( x_2 >= -0.904 ) ) and not ( always[24,26] ( x_3 >= 0.083 ) ) ) )"
18718,"eventually[27,inf] ( ( ( ( x_2 <= 0.7591 or x_2 <= 1.9197 ) until[20,30] eventually[11,27] ( x_1 >= -0.2396 ) ) or not ( ( x_1 >= -0.4652 until[20,inf] x_2 >= 0.3035 ) ) ) )"
18719,"not ( ( eventually[12,28] ( ( x_2 >= 1.128 or x_3 <= 0.6589 ) ) until[20,24] eventually[16,27] ( ( x_1 <= -0.7158 and x_1 >= -0.0346 ) ) ) )"
18720,"eventually[12,19] ( ( not ( ( x_3 <= 0.9773 and x_1 >= 2.3055 ) ) until[15,34] always[8,33] ( ( x_0 <= 0.6161 or x_3 >= -0.1336 ) ) ) )"
18721,"always[3,inf] ( ( ( ( x_3 >= -0.1117 until x_1 >= 1.4567 ) until not ( x_0 <= 0.1649 ) ) or not ( ( x_2 >= 0.1392 or x_2 <= -0.5677 ) ) ) )"
18722,"( not ( ( ( x_2 >= -1.05 until[10,35] x_0 >= 0.4741 ) and eventually[12,24] ( x_2 <= -0.0853 ) ) ) and not ( ( ( x_2 <= -0.4727 and x_1 >= -0.1001 ) or ( x_3 <= 0.4286 until[13,inf] x_0 >= -1.2498 ) ) ) )"
18723,"always[8,36] ( not ( ( eventually[24,28] ( x_0 >= -0.4649 ) until[34,36] ( x_1 <= -1.6307 or x_0 >= -0.6221 ) ) ) )"
18724,"eventually[32,36] ( not ( ( ( x_2 >= -0.2887 or x_1 >= 1.5968 ) or not ( x_0 >= -0.4717 ) ) ) )"
18725,"( ( not ( ( x_3 <= -0.0247 or x_2 <= -0.5853 ) ) until[15,33] ( eventually[19,21] ( x_2 <= 0.023 ) until[10,14] always[21,27] ( x_3 >= 1.1044 ) ) ) or ( not ( always ( x_3 >= -0.5748 ) ) or ( always ( x_1 <= 0.2578 ) until ( x_0 >= 1.9466 or x_1 >= 0.3135 ) ) ) )"
18726,"eventually[9,29] ( ( ( not ( x_1 >= 0.2426 ) or ( x_2 <= -0.702 until x_1 >= 0.8227 ) ) and always[27,30] ( ( x_0 <= -1.1839 until[6,32] x_3 <= 1.1116 ) ) ) )"
18727,"( not ( eventually[8,14] ( not ( x_2 >= -0.4282 ) ) ) until[12,31] ( ( not ( x_3 >= -0.2617 ) and not ( x_3 <= -0.0078 ) ) until[29,35] ( eventually[13,16] ( x_2 <= -1.1361 ) or ( x_2 <= -0.3767 and x_3 <= -0.5911 ) ) ) )"
18728,"always[9,30] ( not ( ( always[10,inf] ( x_2 <= -1.0366 ) until[17,21] eventually[8,inf] ( x_0 <= 0.6523 ) ) ) )"
18729,"always[14,28] ( not ( eventually[1,14] ( not ( x_0 <= 0.2495 ) ) ) )"
18730,"always[8,31] ( ( ( ( x_2 >= -0.0445 until[19,inf] x_3 <= -0.0986 ) and ( x_2 >= 1.4195 and x_2 <= -0.1446 ) ) until[30,32] ( ( x_1 >= -0.4678 and x_3 <= 0.848 ) and eventually[4,11] ( x_3 >= 0.6594 ) ) ) )"
18731,"( ( ( not ( x_3 >= 0.2785 ) and ( x_3 <= 1.6769 until[12,33] x_2 >= 0.9047 ) ) or ( ( x_2 >= -0.357 or x_2 >= 0.1704 ) or ( x_0 <= -0.249 and x_3 <= 0.189 ) ) ) or ( not ( ( x_0 >= -2.3475 or x_0 >= 0.6737 ) ) until[20,28] ( ( x_1 >= 0.6515 or x_2 <= -1.7785 ) or ( x_0 <= 0.7916 or x_2 >= -0.3256 ) ) ) )"
18732,"( ( not ( ( x_1 >= -1.0762 and x_1 <= 0.3658 ) ) and ( ( x_2 <= 0.2119 until x_3 >= 0.2051 ) until[27,inf] not ( x_2 <= -0.1599 ) ) ) until[2,12] ( not ( always[15,33] ( x_0 >= 0.0574 ) ) and ( eventually[25,inf] ( x_2 <= 0.4009 ) until[3,inf] eventually[18,33] ( x_2 >= -0.5911 ) ) ) )"
18733,"not ( ( ( eventually[31,33] ( x_1 <= -0.952 ) and ( x_2 <= 0.0637 until[2,25] x_2 >= -2.5591 ) ) and ( ( x_1 <= 0.7396 and x_0 >= 0.9127 ) or ( x_2 >= -2.3196 or x_1 <= -0.3038 ) ) ) )"
18734,"not ( not ( ( ( x_2 >= -0.38 until x_2 >= 0.3586 ) until[13,inf] ( x_2 <= -0.6649 until[14,29] x_2 <= -0.345 ) ) ) )"
18735,"always ( ( ( ( x_3 >= -0.3207 until x_3 >= -0.3036 ) and ( x_0 <= -2.2805 or x_3 >= -1.4001 ) ) and eventually[23,33] ( eventually ( x_2 >= -0.5729 ) ) ) )"
18736,"( ( ( not ( x_2 >= -1.1592 ) or ( x_3 >= -0.4016 or x_1 >= 1.24 ) ) or not ( always ( x_1 >= -2.2249 ) ) ) or always[10,inf] ( not ( ( x_2 >= -0.5164 and x_2 <= 0.6664 ) ) ) )"
18737,"not ( ( eventually[14,36] ( ( x_2 <= -1.4472 until[16,19] x_0 >= -0.1432 ) ) and ( eventually[0,inf] ( x_2 >= -0.4408 ) or ( x_0 >= -0.2139 until[8,14] x_2 <= -0.5872 ) ) ) )"
18738,"( not ( ( ( x_1 >= -0.6122 and x_2 <= 0.1221 ) until[23,30] not ( x_3 <= -0.8668 ) ) ) and ( not ( eventually[26,35] ( x_2 >= -0.5893 ) ) and ( not ( x_0 <= -0.8764 ) or eventually[15,27] ( x_0 >= -0.8669 ) ) ) )"
18739,"( ( ( ( x_2 >= -0.7831 or x_2 >= 0.0789 ) or ( x_3 >= 0.556 and x_1 <= -0.0327 ) ) or not ( ( x_3 <= -0.5442 and x_2 >= -0.6341 ) ) ) until[31,35] always[24,33] ( always[21,30] ( ( x_3 <= 1.1845 and x_2 >= -0.4416 ) ) ) )"
18740,"eventually[32,inf] ( always[18,33] ( ( eventually[3,inf] ( x_2 >= -0.8056 ) and ( x_2 >= 0.0135 and x_3 <= -0.5134 ) ) ) )"
18741,"( eventually[27,inf] ( ( ( x_1 <= -0.7329 or x_2 <= 0.4744 ) or ( x_0 >= 0.1353 and x_1 >= 0.8901 ) ) ) until[29,inf] always ( ( eventually[20,25] ( x_2 <= 0.7295 ) or not ( x_3 >= 0.212 ) ) ) )"
18742,"eventually[29,34] ( ( ( not ( x_1 >= -0.501 ) or ( x_2 <= -0.4504 and x_3 >= -1.116 ) ) or eventually[24,31] ( ( x_0 >= 1.5973 until[28,31] x_2 <= 1.0275 ) ) ) )"
18743,"( eventually[2,inf] ( eventually[12,31] ( always ( x_2 >= -1.1135 ) ) ) or ( always[16,20] ( not ( x_3 >= 0.5765 ) ) and always[25,inf] ( always[30,36] ( x_1 >= 0.2878 ) ) ) )"
18744,not ( not ( ( ( x_3 <= 1.577 and x_0 <= 3.0368 ) or not ( x_2 >= 1.3874 ) ) ) )
18745,"always[14,23] ( eventually ( eventually[0,18] ( ( x_2 >= -0.2135 until[7,inf] x_2 <= -0.8337 ) ) ) )"
18746,"( always ( ( ( x_3 >= -0.1302 or x_0 <= -0.8143 ) or always[25,inf] ( x_3 <= -0.4001 ) ) ) and ( not ( eventually[0,8] ( x_2 >= 0.1273 ) ) until[6,14] always[18,33] ( ( x_0 >= -0.9669 until[33,inf] x_3 <= 0.2138 ) ) ) )"
18747,"( ( eventually[2,inf] ( eventually[3,8] ( x_0 <= -1.8232 ) ) or ( always[19,35] ( x_0 <= -0.2695 ) until always[6,inf] ( x_3 >= 1.4115 ) ) ) and not ( ( ( x_0 <= 1.351 or x_3 >= -0.5805 ) or not ( x_1 <= 2.4104 ) ) ) )"
18748,"always[5,inf] ( not ( ( eventually ( x_0 <= 0.7397 ) and not ( x_3 <= -1.2497 ) ) ) )"
18749,"( ( ( ( x_2 >= 0.317 and x_2 <= -1.342 ) until[1,19] always[11,16] ( x_2 <= -0.3593 ) ) and ( ( x_1 >= -0.4737 or x_3 >= -0.9201 ) and eventually[3,32] ( x_1 >= 0.3116 ) ) ) or not ( not ( eventually[27,32] ( x_2 <= -0.8003 ) ) ) )"
18750,"always[15,18] ( ( always ( ( x_3 <= 0.3839 and x_1 >= -0.0599 ) ) until eventually[17,34] ( not ( x_2 >= 0.4821 ) ) ) )"
18751,"eventually[2,18] ( always[30,36] ( ( ( x_2 >= -0.108 or x_1 <= -1.1061 ) until[9,inf] ( x_1 >= -0.0546 or x_1 >= 0.2741 ) ) ) )"
18752,"not ( ( ( ( x_0 <= -0.3447 until[1,17] x_2 <= 1.0624 ) and always[31,33] ( x_0 >= -0.0692 ) ) and ( eventually[10,14] ( x_1 <= 0.3867 ) and ( x_2 <= -0.8226 until[29,35] x_3 <= -0.2627 ) ) ) )"
18753,"( ( ( always[25,35] ( x_1 <= -0.2722 ) until[18,23] eventually[32,inf] ( x_1 >= 0.4644 ) ) or ( ( x_3 >= -0.079 and x_2 <= -1.7049 ) until[7,inf] ( x_3 >= -0.8044 until[10,24] x_1 <= 0.9362 ) ) ) or always[9,22] ( ( eventually[24,28] ( x_3 <= -0.202 ) and always[20,33] ( x_0 <= -0.6816 ) ) ) )"
18754,"always[33,35] ( ( always[12,inf] ( ( x_3 <= -1.3112 and x_1 >= 0.613 ) ) and ( always[30,35] ( x_2 >= -0.5118 ) or always[11,13] ( x_0 <= 1.6832 ) ) ) )"
18755,"( eventually[26,32] ( ( not ( x_2 >= -1.4146 ) and always[6,27] ( x_2 <= 0.996 ) ) ) and ( ( ( x_3 >= 1.8451 and x_1 >= 0.0971 ) and not ( x_1 <= 0.3702 ) ) and always[1,29] ( eventually[12,inf] ( x_0 <= 2.1531 ) ) ) )"
18756,"( ( eventually[17,36] ( ( x_0 >= 0.8482 or x_2 >= -0.79 ) ) and always[19,31] ( ( x_1 >= -2.4524 or x_3 >= 0.3839 ) ) ) and not ( ( always[15,31] ( x_0 >= -0.1167 ) and ( x_2 <= 2.3342 and x_3 >= -0.1624 ) ) ) )"
18757,"not ( eventually[10,26] ( ( not ( x_3 <= -0.4007 ) or always[24,34] ( x_1 <= -1.4777 ) ) ) )"
18758,"eventually[9,inf] ( ( ( always[14,17] ( x_2 <= 1.1971 ) or ( x_2 >= -0.7061 and x_2 >= -0.0723 ) ) and not ( always[29,36] ( x_2 <= -0.3207 ) ) ) )"
18759,"always[17,inf] ( ( ( ( x_2 >= -1.4808 or x_1 >= -0.3508 ) or ( x_0 <= 0.0441 and x_3 <= -0.3096 ) ) or ( eventually[2,inf] ( x_0 >= -0.7754 ) until[16,29] ( x_0 <= 0.9044 until[22,29] x_2 >= -0.3261 ) ) ) )"
18760,"eventually[9,22] ( always[0,18] ( ( eventually[23,28] ( x_1 <= -1.2155 ) until[21,inf] ( x_0 >= 0.8439 or x_0 <= -0.3608 ) ) ) )"
18761,"( ( ( ( x_0 >= 1.4901 and x_2 <= 0.1157 ) or not ( x_3 >= 0.7047 ) ) and not ( always[16,32] ( x_0 >= 1.2526 ) ) ) or ( ( always[4,inf] ( x_2 >= 1.1765 ) or ( x_1 >= 0.2768 until[15,inf] x_1 >= -0.3534 ) ) and ( ( x_0 <= 1.1634 and x_0 >= 2.3083 ) and ( x_3 <= -0.5882 or x_3 >= -0.4874 ) ) ) )"
18762,"not ( not ( ( not ( x_0 <= 0.8436 ) until[14,32] ( x_2 >= 0.9918 or x_1 <= -0.9192 ) ) ) )"
18763,"not ( not ( eventually[8,31] ( not ( x_2 <= 1.3724 ) ) ) )"
18764,"( ( not ( always[9,inf] ( x_2 <= 2.8156 ) ) and ( always[2,17] ( x_0 <= 0.3223 ) and eventually[3,31] ( x_2 <= 0.8165 ) ) ) until[2,17] not ( ( not ( x_0 >= 0.2021 ) until[17,22] not ( x_0 >= -0.5451 ) ) ) )"
18765,"eventually[6,inf] ( always[4,27] ( always[9,inf] ( ( x_3 <= 2.49 and x_1 >= -0.5161 ) ) ) )"
18766,"always[34,36] ( always[11,34] ( ( not ( x_1 >= -0.5692 ) and always[29,inf] ( x_3 <= 0.0608 ) ) ) )"
18767,"( not ( not ( always[26,34] ( x_0 >= 0.1919 ) ) ) and ( eventually[13,34] ( ( x_3 <= 0.3127 or x_1 >= 0.4443 ) ) or ( ( x_2 >= -0.2296 and x_0 >= -0.1159 ) until[32,36] eventually[22,32] ( x_1 >= 1.4735 ) ) ) )"
18768,"eventually[5,20] ( always[6,32] ( always[5,inf] ( eventually[33,35] ( x_0 >= 0.3906 ) ) ) )"
18769,"always ( not ( eventually[18,29] ( eventually[3,6] ( x_3 >= 0.0438 ) ) ) )"
18770,"not ( eventually[21,33] ( ( ( x_1 <= 0.922 and x_1 >= -0.5018 ) or ( x_3 <= -1.4122 and x_1 <= 0.5958 ) ) ) )"
18771,"( ( not ( eventually[23,32] ( x_2 >= 0.8149 ) ) or always[29,inf] ( ( x_0 <= 2.4092 until[28,30] x_0 >= 1.3458 ) ) ) and ( ( ( x_3 >= -0.8496 and x_2 >= 0.3397 ) until[24,32] ( x_0 >= -1.3229 and x_3 <= 0.1089 ) ) until[30,33] not ( eventually[31,36] ( x_0 >= 1.2783 ) ) ) )"
18772,"eventually ( not ( ( always[7,9] ( x_2 <= -1.1175 ) until[8,33] not ( x_0 >= -1.3647 ) ) ) )"
18773,"eventually[3,20] ( eventually[23,inf] ( ( not ( x_3 <= 0.8672 ) and ( x_0 <= -0.8626 and x_2 >= -0.892 ) ) ) )"
18774,"eventually[3,inf] ( ( ( ( x_0 >= -0.9502 until[14,16] x_0 <= -0.1912 ) and ( x_3 <= 0.0623 until[34,inf] x_2 >= 0.0675 ) ) and always[12,18] ( always[19,29] ( x_3 >= 0.6567 ) ) ) )"
18775,"eventually[24,30] ( always[18,25] ( not ( eventually ( x_2 >= 2.3827 ) ) ) )"
18776,"( not ( ( not ( x_3 >= -0.4705 ) and ( x_1 <= -0.238 or x_2 <= 3.1662 ) ) ) until[7,20] always[10,33] ( always[27,33] ( ( x_1 >= 0.0246 until x_2 >= 0.3501 ) ) ) )"
18777,"eventually[11,33] ( ( ( ( x_2 <= -0.0816 or x_3 <= 0.1786 ) and ( x_2 <= 1.32 until[15,22] x_2 <= -1.2353 ) ) or ( eventually[7,inf] ( x_3 <= -0.5247 ) until[32,34] ( x_2 >= 0.8336 or x_2 >= -2.0083 ) ) ) )"
18778,"not ( not ( always[33,inf] ( ( x_0 <= 0.6937 and x_1 <= -0.0073 ) ) ) )"
18779,"( always[12,33] ( ( always[27,inf] ( x_3 <= 0.1879 ) or ( x_2 <= 0.0149 and x_3 >= 0.6703 ) ) ) and not ( ( always[18,35] ( x_2 >= 0.4311 ) and always[19,28] ( x_2 <= -0.8638 ) ) ) )"
18780,"( ( ( not ( x_1 <= 0.1406 ) and ( x_0 >= 1.2057 or x_2 >= 1.1382 ) ) or always[20,34] ( ( x_2 <= 1.2748 until[33,36] x_2 <= 0.3454 ) ) ) and eventually[30,32] ( eventually[19,32] ( always[29,35] ( x_1 >= 0.4497 ) ) ) )"
18781,"( eventually[16,33] ( ( not ( x_0 <= -1.2919 ) and ( x_3 <= 1.2923 until[25,36] x_3 >= 1.1967 ) ) ) or always[30,inf] ( ( ( x_2 >= 0.308 and x_1 >= 0.2416 ) and eventually[11,32] ( x_1 >= 0.2298 ) ) ) )"
18782,"always[12,33] ( always[16,inf] ( ( ( x_3 >= -0.238 and x_2 >= 0.039 ) until[7,26] ( x_0 <= 0.9866 and x_1 <= 0.1439 ) ) ) )"
18783,"always[26,inf] ( eventually[7,34] ( always[10,24] ( eventually[13,inf] ( x_3 <= 0.7529 ) ) ) )"
